,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,Unnamed: 0,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,firstInit
184,125,Aug 24,False,NYM,"W,8-0",44,41,8,15,1,0,4,8,2,0,8,0,1,0,0,0,0,0,0.247,0.326,0.439,0.765,9,16,R,T.Megill(16),2606,89.0,4.69,1.283,8.8,1.9,2.7,9.9,3.67,T
185,126,Aug 25,False,NYM,"W,3-2",32,30,3,4,2,0,1,3,1,0,4,1,0,0,1,0,0,1,0.246,0.325,0.438,0.763,2,17,R,T.Walker(60),2604,90.0,4.57,1.182,7.5,1.5,3.1,8.3,2.65,T
186,127,Aug 26,False,NYM,"W,3-2",35,33,3,6,1,0,1,3,1,0,8,1,0,0,0,0,0,0,0.245,0.324,0.437,0.761,5,17,R,C.Carrasco(68),2614,67.0,5.22,1.435,9.9,2.0,3.0,8.4,2.78,C
187,128,Aug 27,False,ATL,"L,5-6",35,33,5,7,1,0,2,4,1,0,7,1,0,0,0,1,1,0,0.245,0.324,0.436,0.76,3,13,L,M.Fried(53),363,143.0,3.31,1.087,7.6,0.8,2.2,8.6,3.85,M
188,129,Aug 28,False,ATL,"W,5-0",39,34,5,8,2,0,2,5,4,0,6,0,0,1,0,0,1,0,0.245,0.324,0.437,0.76,7,13,R,H.Ynoa(58),366,107.0,3.93,1.11,7.5,1.4,2.5,9.9,4.0,H
189,130,Aug 29,False,ATL,"L,0-9",36,31,0,5,1,0,0,0,5,0,3,0,0,0,0,1,1,0,0.244,0.323,0.435,0.758,9,11,R,I.Anderson(59),364,121.0,4.12,1.231,7.4,1.1,3.7,8.7,2.34,I
190,131,Aug 30,True,MIL,"L,1-3",34,33,1,6,3,0,0,1,1,0,10,0,0,0,0,0,0,0,0.244,0.323,0.434,0.756,6,18,R,C.Burnes(69),2290,170.0,1.63,0.94,6.6,0.4,1.8,12.6,6.88,C
191,132,Aug 31,True,MIL,"L,2-6",38,33,2,7,1,0,2,2,5,0,15,0,0,0,0,1,0,0,0.244,0.323,0.434,0.756,9,14,R,B.Woodruff(63),2289,161.0,2.96,0.965,6.5,0.9,2.2,10.6,4.91,B
192,133,Sep 1,True,MIL,"L,2-5",39,34,2,8,4,0,0,2,5,1,13,0,0,0,0,1,1,0,0.244,0.323,0.433,0.756,10,18,L,B.Anderson(51),2294,98.0,4.39,1.354,9.6,1.0,2.6,5.4,2.07,B
193,134,Sep 2,True,MIL,"W,5-1",33,30,5,5,1,0,2,5,3,0,5,0,0,0,1,0,1,0,0.243,0.322,0.433,0.755,4,12,L,E.Lauer(70),2293,130.0,4.04,1.138,7.1,1.2,3.1,8.9,2.85,E
194,135,Sep 3,True,LAD,"W,3-2",50,42,3,8,2,0,0,2,8,1,9,0,0,0,2,0,1,0,0.243,0.322,0.431,0.753,17,19,R,C.Knebel(54),2140,174.0,2.9,0.974,5.6,0.7,3.2,10.5,3.33,C
195,136,Sep 4,True,LAD,"L,1-6",37,36,1,9,4,0,0,1,0,0,11,1,0,0,0,0,1,0,0.243,0.322,0.431,0.752,9,19,L,J.Urías(57),2125,143.0,3.13,1.018,7.3,0.9,1.8,9.5,5.13,J
196,137,Sep 5,True,LAD,"W,6-4",37,32,6,10,4,1,1,6,5,1,6,0,0,0,0,1,0,1,0.243,0.322,0.432,0.754,7,21,R,W.Buehler(21),2124,171.0,3.16,0.968,6.5,0.8,2.3,9.2,4.08,W
197,138,Sep 6,False,COL,"W,10-5",45,40,10,15,2,1,4,10,4,0,9,1,0,0,0,2,0,0,0.244,0.323,0.435,0.758,8,14,L,K.Freeland(20),1410,111.0,4.63,1.417,9.9,1.5,2.8,7.8,2.76,K
198,139,Sep 7,False,COL,"W,12-3",44,38,12,15,7,2,1,12,5,0,4,1,0,0,0,3,0,0,0.246,0.325,0.437,0.762,5,12,R,C.González(18),1412,74.0,5.37,1.525,11.2,1.6,2.5,5.0,2.0,C
199,140,Sep 8,False,COL,"W,7-4",43,38,7,11,1,0,1,7,4,0,17,1,0,0,0,0,0,0,0.246,0.325,0.437,0.762,9,19,R,J.Gray(50),1409,105.0,4.22,1.329,8.5,1.3,3.5,9.5,2.71,J
200,141,Sep 10,False,CHC,"W,6-1",38,33,6,9,1,0,2,6,4,0,7,0,0,1,0,1,0,0,0.246,0.325,0.437,0.762,5,19,R,K.Hendricks(62),828,88.0,4.89,1.348,9.9,1.5,2.2,6.5,2.98,K
201,142,Sep 11,False,CHC,"W,15-4",50,37,15,13,3,0,2,15,11,1,9,1,0,1,0,1,0,0,0.247,0.327,0.438,0.765,8,14,R,Z.Davies(26),829,73.0,5.45,1.601,9.9,1.5,4.6,6.9,1.52,Z
